Episode,Reward,Length
905,-2700.7546,47
906,-1690.4722,28
907,-4847.925,102
908,-1809.5884,36
909,-1571.0919,26
910,-2521.0483,73
911,-3097.9575,54
912,-24473.467,500
913,-29041.934,500
914,-1050.7523,16
915,-900.3063,17
916,-1824.0957,31
917,-1283.3309,23
918,-3843.1255,62
919,-23603.906,500
920,-1991.4586,39
921,-1192.5195,25
922,-2509.875,42
923,-576.09735,13
924,-1030.5565,21
925,-1084.3761,19
926,-26828.396,500
927,-2005.6123,25
928,-4981.9824,62
929,-1766.6488,29
930,-3105.7224,43
931,-1291.6238,27
932,-10833.606,150
933,-1846.8556,30
934,-2680.65,52
935,-6209.637,131
936,-2584.772,43
937,-1847.6852,32
938,-1472.5985,30
939,-31540.555,500
940,-4213.3477,82
941,-21821.25,500
942,-1497.006,27
943,-30056.168,500
944,-1085.0663,26
945,-917.3366,19
946,-4104.641,67
947,-1425.4799,18
948,-1309.0144,25
949,-2634.3083,39
950,-1139.4005,19
951,-2340.4382,41
952,-462.19168,10
953,-3144.3154,47
954,-2125.621,41
955,-2928.0688,59
956,-1612.3291,31
957,-845.5692,18
958,-2480.666,46
959,-3377.593,54
960,-1824.6327,35
961,-1078.9995,24
962,-31933.44,500
963,-2680.3452,49
964,-29355.23,500
965,-2026.5729,33
966,-1489.2056,34
967,-1216.3055,20
968,-2265.6956,36
969,-2822.7844,45
970,-1306.4329,21
971,-3826.647,58
972,-3719.3665,66
973,-2792.661,42
974,-1757.1349,30
975,-1041.2107,21
976,-2253.1692,40
977,-2417.4236,35
978,-1365.4681,22
979,-3219.502,57
980,-3031.1594,43
981,-2912.1392,58
982,-1593.0918,22
983,-2317.2292,33
984,-3736.4028,50
985,-1108.8542,18
986,-1185.0687,29
987,-1560.8805,26
988,-1627.2692,25
989,-4710.059,84
990,-1037.51,15
991,-2105.0195,40
992,-4582.662,92
993,-27249.283,500
994,-1500.0172,31
995,-1149.9058,31
996,-4326.1772,95
997,-1028.2451,22
998,-1774.4287,29
999,-5081.263,70
1000,-5557.256,87
1001,-920.47034,16
1002,-1104.6432,26
1003,-23557.67,500
1004,-29345.807,500
1005,-1306.0874,18
1006,-2312.426,37
1007,-2333.1182,61
1008,-924.7095,20
1009,-8295.197,181
1010,-758.4688,15
1011,-533.9288,12
1012,-2511.379,33
1013,-1024.7659,25
1014,-32678.29,500
1015,-1988.9473,35
1016,-1055.918,22
1017,-1279.4795,22
1018,-3391.2378,51
1019,-1768.2969,33
1020,-29535.309,500
1021,-31147.041,500
1022,-1844.2391,29
1023,-1873.401,30
1024,-444.74765,9
1025,-1814.2896,31
1026,-990.51324,21
1027,-511.6515,9
1028,-27521.9,500
1029,-2094.6382,51
1030,-1382.6117,19
1031,-592.3169,9
1032,-3757.3533,65
1033,-391.14502,8
1034,-5660.394,147
1035,-1093.4043,16
1036,-1413.5751,31
1037,-27959.266,500
1038,-3116.1948,42
1039,-738.93134,17
1040,-1261.0808,26
1041,-767.1587,19
1042,-5011.9277,79
1043,-32866.324,500
1044,-1501.5905,30
1045,-2403.5479,59
1046,-3777.2104,80
1047,-551.8181,11
1048,-915.68335,18
1049,-1651.2052,32
1050,-30223.887,500
1051,-2242.2307,46
1052,-1169.161,21
1053,-922.32385,19
1054,-2329.7214,35
1055,-2315.316,55
1056,-1821.0906,28
1057,-2539.4277,44
1058,-959.7797,22
1059,-481.58533,12
1060,-1855.1669,31
1061,-1223.6998,22
1062,-18069.709,500
1063,-965.0878,15
1064,-1491.1909,25
1065,-828.84,13
1066,-27944.078,500
1067,-2352.3108,44
1068,-1370.1854,22
1069,-20700.904,500
1070,-1079.2188,19
1071,-30679.873,500
1072,-3238.4985,42
1073,-1836.4344,35
1074,-1065.4294,17
1075,-1043.9796,23
1076,-6782.2017,146
1077,-1713.756,36
1078,-2131.697,28
1079,-1220.0342,23
1080,-2484.9082,47
1081,-2973.0088,43
1082,-1854.9047,23
1083,-1154.0618,16
1084,-1311.2122,31
1085,-31754.35,500
1086,-2555.079,40
1087,-1979.1699,33
1088,-972.78784,18
1089,-1674.4834,30
1090,-1042.6478,17
1091,-1428.9376,35
1092,-8634.768,255
1093,-5071.1265,78
1094,-974.5344,14
1095,-28062.05,500
1096,-1885.2227,44
1097,-821.9096,15
1098,-1291.9751,25
1099,-1920.158,33
1100,-3055.2393,47
1101,-1137.9644,20
1102,-1141.0677,20
1103,-1036.7078,19
1104,-461.0815,8
1105,-27314.355,500
1106,-1360.3876,24
1107,-1822.9231,29
1108,-864.9686,16
1109,-2326.4788,36
1110,-1049.4082,26
1111,-1095.1075,23
1112,-1891.3094,25
1113,-1458.3416,28
1114,-12154.051,172
1115,-28708.527,500
1116,-462.45792,9
1117,-7567.7964,106
1118,-1748.7039,30
1119,-2527.1328,39
1120,-2267.9436,30
1121,-1353.339,33
1122,-2276.1985,47
1123,-5353.3,99
1124,-6076.7134,120
1125,-5654.5234,78
1126,-1005.246,21
1127,-7542.2524,154
1128,-1384.5281,32
1129,-814.2994,15
1130,-2166.2986,33
1131,-1981.5992,41
1132,-1356.3594,36
1133,-1533.7411,27
1134,-1026.7124,17
1135,-3390.275,56
1136,-1111.6313,18
1137,-5632.8354,89
1138,-786.7043,12
1139,-985.2435,23
1140,-1470.2546,32
1141,-416.053,9
1142,-1675.0231,34
1143,-2291.2239,41
1144,-1400.0946,27
1145,-1038.545,20
1146,-5491.801,89
1147,-2236.3433,38
1148,-816.65466,12
1149,-945.34283,20
1150,-3587.4739,48
1151,-2948.012,44
1152,-9040.845,143
1153,-5166.9795,79
1154,-29420.818,500
1155,-1243.2236,34
1156,-28096.668,500
1157,-2268.2073,47
1158,-1302.6633,29
1159,-1493.169,30
1160,-26262.502,351
1161,-1317.514,29
1162,-1135.3922,24
1163,-1431.1611,30
1164,-1355.8328,18
1165,-2564.6812,56
1166,-1635.2635,31
1167,-609.3564,13
1168,-1192.9122,21
1169,-1393.359,23
1170,-22778.463,500
1171,-1409.061,18
1172,-2441.2214,47
1173,-1285.7036,25
1174,-1394.2952,28
1175,-24540.979,500
1176,-1619.6519,21
1177,-5437.2773,95
1178,-944.9469,17
1179,-3190.2366,60
1180,-1669.3068,23
1181,-2468.139,45
1182,-1074.3792,22
1183,-705.18365,12
1184,-27431.488,500
1185,-1248.258,25
1186,-1745.1833,31
1187,-990.7986,18
1188,-2401.9255,36
1189,-2021.6075,37
1190,-2221.7834,44
1191,-995.1009,16
1192,-1289.9806,23
1193,-822.7865,21
1194,-877.8444,20
1195,-531.2227,12
1196,-2083.0576,40
1197,-42026.14,500
1198,-1486.0828,25
1199,-1800.6737,28
1200,-823.31885,18
1201,-26701.543,500
1202,-1420.6279,22
1203,-1570.6741,40
1204,-997.2283,22
1205,-1148.942,33
1206,-729.2107,15
1207,-1468.8744,31
1208,-5423.672,119
1209,-1430.1617,21
1210,-681.00305,17
1211,-1300.2,27
1212,-990.72327,20
1213,-17735.139,338
1214,-1898.7213,43
1215,-1220.1053,26
1216,-28715.174,500
1217,-23897.71,412
1218,-1314.7122,17
1219,-1601.4036,26
1220,-1201.0588,18
1221,-2563.7708,36
1222,-942.95935,19
1223,-1491.5977,29
1224,-357.36053,9
1225,-882.92847,20
1226,-1134.6267,24
1227,-5449.04,128
1228,-966.4673,14
1229,-2141.1309,34
1230,-1389.3029,22
1231,-946.80884,19
1232,-1776.1725,41
1233,-1211.5133,24
1234,-721.56036,19
1235,-3711.7092,63
1236,-3225.8599,56
1237,-1638.3434,33
1238,-1334.0547,26
1239,-1289.799,21
