Wall time,Step,Timestep,Value
1750432530,4285440,5299200,0.899999976
1750432635,4300800,5314560,0.920000017
1750432739,4316160,5329920,0.939999998
1750432844,4331520,5345280,0.910000026
1750432949,4346880,5360640,0.889999986
1750433055,4362240,5376000,0.939999998
1750433159,4377600,5391360,0.899999976
1750433264,4392960,5406720,0.910000026
1750433369,4408320,5422080,0.870000005
1750433473,4423680,5437440,0.860000014
1750433577,4439040,5452800,0.819999993
1750433681,4454400,5468160,0.889999986
1750433786,4469760,5483520,0.930000007
1750433890,4485120,5498880,0.910000026
1750433995,4500480,5514240,0.899999976
1750434099,4515840,5529600,0.930000007
1750434204,4531200,5544960,0.899999976
1750434308,4546560,5560320,0.939999998
1750434413,4561920,5575680,0.930000007
1750434518,4577280,5591040,0.790000021
1750434621,4592640,5606400,0.850000024
1750434726,4608000,5621760,0.920000017
1750434831,4623360,5637120,0.870000005
1750434936,4638720,5652480,0.879999995
1750435040,4654080,5667840,0.899999976
1750435145,4669440,5683200,0.850000024
1750435249,4684800,5698560,0.899999976
1750435353,4700160,5713920,0.889999986
1750435458,4715520,5729280,0.899999976
1750435562,4730880,5744640,0.949999988
1750435667,4746240,5760000,0.939999998
1750435773,4761600,5775360,0.939999998
1750435877,4776960,5790720,0.899999976
1750435982,4792320,5806080,0.899999976
1750436087,4807680,5821440,0.910000026
1750436193,4823040,5836800,0.959999979
1750436297,4838400,5852160,0.939999998
1750436398,4853760,5867520,0.889999986
1750436501,4869120,5882880,0.870000005
1750436605,4884480,5898240,0.910000026
1750436703,4899840,5913600,0.920000017
1750436803,4915200,5928960,0.899999976
1750436901,4930560,5944320,0.879999995
1750436999,4945920,5959680,0.920000017
1750437099,4961280,5975040,0.930000007
1750437196,4976640,5990400,0.939999998
1750437294,4992000,6005760,0.959999979
1750437393,5007360,6021120,0.959999979
